Layers,Neurons,Dropout,Error
1,64,0.2,0.7028
2,48,0.1,0.7169
1,48,0.1,0.7259
1,48,0.2,0.7334
2,32,0.1,0.7464
1,32,0.1,0.7661
2,64,0.1,0.7721
2,48,0.2,0.7824
2,24,0.1,0.7825
1,64,0.1,0.7845
1,32,0.2,0.785
2,32,0.2,0.7919
2,64,0.2,0.795
3,32,0.1,0.8034
1,24,0.1,0.8209
3,48,0.1,0.8274
1,128,0.1,0.8337
2,24,0.2,0.8348
3,24,0.1,0.8416
1,24,0.2,0.8502
3,32,0.2,0.861
1,128,0.2,0.8929
3,24,0.2,0.8978
3,48,0.2,0.9132
1,256,0.2,0.9351
2,128,0.2,0.9779
3,64,0.1,0.9791
2,128,0.1,0.9894
3,64,0.2,1.04
2,256,0.1,1.0614
1,256,0.1,1.0785
3,128,0.1,1.1044
3,128,0.2,1.1194
2,256,0.2,1.1417
3,256,0.2,1.2071
3,256,0.1,1.3284
