Name,Epoch,Loss
cv10_l1_n24_d0.2,99,0.8260
cv10_l2_n24_d0.2,99,0.8223
cv10_l1_n24_d0.1,99,0.7911
cv10_l1_n32_d0.2,99,0.7846
cv10_l2_n32_d0.2,98,0.7704
cv10_l2_n24_d0.1,99,0.7500
cv10_l1_n32_d0.1,98,0.7446
cv10_l1_n48_d0.2,96,0.7210
cv10_l2_n32_d0.1,98,0.6968
cv10_l2_n48_d0.2,97,0.6947
cv10_l1_n48_d0.1,99,0.6761
cv10_l1_n64_d0.2,98,0.6683
cv10_l1_n64_d0.1,99,0.6414
cv10_l2_n64_d0.2,99,0.6403
cv10_l2_n48_d0.1,98,0.6221
cv10_l1_n128_d0.1,62,0.5902
cv10_l2_n64_d0.1,95,0.5877
cv10_l1_n128_d0.2,98,0.5801
cv10_l2_n256_d0.1,23,0.5731
cv10_l1_n256_d0.1,27,0.5731
cv10_l1_n256_d0.2,39,0.5656
cv10_l2_n128_d0.1,35,0.5641
cv10_l2_n256_d0.2,39,0.5616
cv10_l2_n128_d0.2,97,0.5607
